what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.css.ui,1.0.301.v200807170605,org.eclipse.wst.css.ui,1232895896087
started,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1232895896603
opened,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232895896884
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232895897025
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232895897384
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1232895897603
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1232895906259
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1232895906337
started,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1232895906384
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1232895909790
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232895960165
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1232895964509
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232895969665
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1232895981931
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232895995243
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896027400
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896028087
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896028400
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896033853
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896038118
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896040134
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1232896040212
closed,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896040228
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896045525
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896059525
