what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896311318
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896311599
opened,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896318364
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896318427
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896318458
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896322458
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896323802
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896325427
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896327396
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896330661
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896335021
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896339052
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896340724
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896350083
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1232896352974
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896354708
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1232896355396
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896356802
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896358833
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1232896360224
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896361349
closed,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1232896361380
closed,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1232896362614
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896363474
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896364724
