what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.edit.text.openLocalFile,1232896059728
started,bundle,org.eclipse.wst.common.project.facet.ui,1.3.2.v200809022055,org.eclipse.wst.common.project.facet.ui,1232896072197
started,bundle,org.eclipse.wst.web.ui,1.1.200.v200805281530,org.eclipse.wst.web.ui,1232896072243
started,bundle,org.eclipse.jst.j2ee.web,1.1.201.v200807290757,org.eclipse.jst.j2ee.web,1232896072525
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1232896072587
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.200.v200805221400,org.eclipse.wst.common.frameworks.ui,1232896077152
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896078230
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896078511
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896086073
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896086230
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896092042
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896099714
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896112761
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896129292
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1232896129308
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896132292
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896134152
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896141120
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896142402
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896142652
opened,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896149511
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232896149558
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896149573
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1232896152589
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1232896176152
